# ASY method (with partition functions): 4960372 integration steps in 1.9485e+01 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     X(20Ne)     X(24Mg)     X(28Si)     X(32S)     X(36Ar)     X(40Ca)     X(44Ti)     X(48Cr)     X(52Fe)     X(56Ni)     X(60Zn)     X(64Ge)     X(68Se)     

-17.930 -18.972 10.285 28.219 0.000 0.000 1.000 -7.763e+00 -3.010e-01 -3.010e-01 -7.083e+00 -8.395e+00 -1.009e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.889 -18.930 10.326 28.219 0.000 0.000 1.000 -7.721e+00 -3.010e-01 -3.010e-01 -7.041e+00 -8.353e+00 -1.004e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.806 -18.848 10.410 28.219 0.000 0.000 1.000 -7.638e+00 -3.010e-01 -3.010e-01 -6.958e+00 -8.270e+00 -9.960e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.765 -18.806 10.451 28.219 0.000 0.000 1.000 -7.596e+00 -3.010e-01 -3.010e-01 -6.916e+00 -8.228e+00 -9.919e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.723 -18.765 10.493 28.219 0.000 0.000 1.000 -7.555e+00 -3.010e-01 -3.010e-01 -6.874e+00 -8.187e+00 -9.877e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.641 -18.682 10.576 28.219 0.000 0.000 1.000 -7.471e+00 -3.010e-01 -3.010e-01 -6.791e+00 -8.103e+00 -9.794e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.599 -18.641 10.618 28.219 0.000 0.000 1.000 -7.430e+00 -3.010e-01 -3.010e-01 -6.750e+00 -8.062e+00 -9.752e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.558 -18.599 10.659 28.219 0.000 0.000 1.000 -7.388e+00 -3.010e-01 -3.010e-01 -6.708e+00 -8.020e+00 -9.711e+00 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.516 -18.558 10.701 28.219 0.000 0.000 1.000 -7.347e+00 -3.010e-01 -3.010e-01 -6.667e+00 -7.979e+00 -9.669e+00 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.434 -18.475 10.784 28.219 0.000 0.000 1.000 -7.264e+00 -3.010e-01 -3.010e-01 -6.584e+00 -7.896e+00 -9.586e+00 -2.396e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
