# ASY+PE method (with partition functions): 523 integration steps in 4.6030e-03 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     

-10.929 -11.893 11.795 22.725 0.000 0.000 1.000 -6.126e+00 -3.010e-01 -3.010e-01
-10.879 -11.843 11.845 22.725 0.000 0.000 1.000 -6.076e+00 -3.010e-01 -3.010e-01
-10.829 -11.793 11.895 22.725 0.000 0.000 1.000 -6.026e+00 -3.010e-01 -3.010e-01
-10.779 -11.743 11.945 22.725 0.000 0.000 1.000 -5.976e+00 -3.010e-01 -3.010e-01
-10.729 -11.693 11.995 22.725 0.000 0.000 1.000 -5.926e+00 -3.010e-01 -3.010e-01
-10.679 -11.643 12.045 22.725 0.000 0.000 1.000 -5.876e+00 -3.010e-01 -3.010e-01
-10.629 -11.593 12.095 22.725 0.000 0.000 1.000 -5.826e+00 -3.010e-01 -3.010e-01
-10.579 -11.543 12.145 22.724 0.000 0.000 1.000 -5.776e+00 -3.010e-01 -3.010e-01
-10.529 -11.493 12.195 22.724 0.000 0.000 1.000 -5.726e+00 -3.010e-01 -3.010e-01
-10.479 -11.443 12.245 22.724 0.000 0.000 1.000 -5.677e+00 -3.010e-01 -3.010e-01
-10.429 -11.393 12.295 22.724 0.000 0.000 1.000 -5.627e+00 -3.010e-01 -3.010e-01
-10.379 -11.343 12.345 22.724 0.000 0.000 1.000 -5.577e+00 -3.010e-01 -3.010e-01
-10.329 -11.293 12.395 22.724 0.000 0.000 1.000 -5.527e+00 -3.010e-01 -3.010e-01
-10.279 -11.243 12.445 22.724 0.000 0.000 1.000 -5.477e+00 -3.010e-01 -3.010e-01
-10.229 -11.193 12.495 22.724 0.000 0.000 1.000 -5.427e+00 -3.010e-01 -3.010e-01
-10.179 -11.143 12.545 22.724 0.000 0.000 1.000 -5.377e+00 -3.010e-01 -3.010e-01
-10.129 -11.093 12.595 22.724 0.000 0.000 1.000 -5.327e+00 -3.010e-01 -3.010e-01
-10.079 -11.043 12.645 22.724 0.000 0.000 1.000 -5.277e+00 -3.010e-01 -3.010e-01
-10.029 -10.993 12.695 22.724 0.000 0.000 1.000 -5.227e+00 -3.010e-01 -3.010e-01
-9.979 -10.943 12.745 22.724 0.000 0.000 1.000 -5.177e+00 -3.010e-01 -3.010e-01
-9.929 -10.893 12.795 22.724 0.000 0.000 1.000 -5.127e+00 -3.010e-01 -3.010e-01
-9.879 -10.843 12.845 22.724 0.000 0.000 1.000 -5.077e+00 -3.010e-01 -3.010e-01
-9.829 -10.793 12.895 22.723 0.000 0.000 1.000 -5.027e+00 -3.010e-01 -3.010e-01
-9.779 -10.743 12.945 22.723 0.000 0.000 1.000 -4.977e+00 -3.010e-01 -3.010e-01
-9.729 -10.693 12.995 22.723 0.000 0.000 1.000 -4.927e+00 -3.010e-01 -3.010e-01
-9.679 -10.643 13.044 22.723 0.000 0.000 1.000 -4.877e+00 -3.010e-01 -3.010e-01
-9.629 -10.593 13.094 22.723 0.000 0.000 1.000 -4.827e+00 -3.010e-01 -3.010e-01
-9.579 -10.543 13.144 22.722 0.000 0.000 1.000 -4.777e+00 -3.010e-01 -3.010e-01
-9.529 -10.493 13.194 22.722 0.000 0.000 1.000 -4.727e+00 -3.010e-01 -3.010e-01
-9.479 -10.443 13.244 22.722 0.000 0.000 1.000 -4.677e+00 -3.010e-01 -3.010e-01
-9.429 -10.393 13.294 22.722 0.000 0.000 1.000 -4.627e+00 -3.010e-01 -3.010e-01
-9.379 -10.343 13.343 22.721 0.000 0.000 1.000 -4.577e+00 -3.010e-01 -3.010e-01
-9.329 -10.293 13.393 22.721 0.000 0.000 1.000 -4.528e+00 -3.010e-01 -3.010e-01
